Bug_Number|Status|Product|Priority|Resolution|Severity|Is_Confirmed
882753|UNCONFIRMED|Firefox|--||normal|False
945665|RESOLVED|Firefox|--|WORKSFORME|normal|True
1127927|VERIFIED|Firefox|--|FIXED|normal|True
1154922|RESOLVED|Firefox|--|WORKSFORME|normal|True
1223550|RESOLVED|Firefox|--|FIXED|normal|True
1265967|RESOLVED|Firefox|--|INCOMPLETE|normal|False
1266270|RESOLVED|Firefox|--|INCOMPLETE|normal|False
1271395|NEW|Firefox|--||minor|True
1271766|RESOLVED|Firefox|P2|FIXED|normal|True
1271774|RESOLVED|Firefox|P2|FIXED|normal|True
1274459|RESOLVED|Firefox|--|WORKSFORME|normal|False
1274712|RESOLVED|Firefox|P1|FIXED|normal|True
1276070|RESOLVED|Firefox|--|DUPLICATE|normal|True
1276152|RESOLVED|Firefox|--|FIXED|normal|True
1276447|RESOLVED|Firefox|--|DUPLICATE|normal|False
1276656|RESOLVED|Firefox|--|DUPLICATE|normal|False
1276818|RESOLVED|Firefox|--|INVALID|normal|False
1276884|RESOLVED|Firefox|P3|FIXED|normal|True
1276966|RESOLVED|Firefox|--|FIXED|normal|True
1277114|RESOLVED|Firefox|--|DUPLICATE|normal|True
1277151|RESOLVED|Firefox|--|DUPLICATE|normal|False
1277257|RESOLVED|Firefox|--|INVALID|normal|False
